"w-full href","object-cover src","uppercase","clamp-4"
"https://enigmalabs.io/library/a255a907-d10f-49f2-89e0-13e57b0e006a","https://static.enigmalabs.io/library/a255a907-d10f-49f2-89e0-13e57b0e006a/6dbb8ad2-9f1e-4694-9cf8-96ad441554bc.png","Condon Committee","The Condon Committee was a large-scale investigation into UAP reports carried out at the University of Colorado from October 1966 to November 1968 under the direction of physicist Dr. Edward Condon. The U.S. Air Force contributed the bulk of the reports and funded the project."
"https://enigmalabs.io/library/0913a909-84a2-48fd-a9f8-dfaabdf97303","https://static.enigmalabs.io/library/0913a909-84a2-48fd-a9f8-dfaabdf97303/717b583c-9aad-466a-914b-3acfd9f483b9.png","The National Investigations Committee on Aerial Phenomena (NICAP)","The National Investigations Committee on Aerial Phenomena, or NICAP, was a private UAP research and education network in the United States that exercised considerable lobbying power from the late-1950’s through the 1960’s. NICAP not only coordinated investigations of UAP around the US, but sought to move the US government toward an open and vigorous effort to discover what was behind “flying saucers.”"
"https://enigmalabs.io/library/aeaa9bbb-3bf8-4da9-982c-ff5e65ea10aa","https://static.enigmalabs.io/library/aeaa9bbb-3bf8-4da9-982c-ff5e65ea10aa/9a4488cc-2203-4ed2-b803-ac0510abd272.png","CUFOS: The J. Allen Hynek Center for UFO Studies","CUFOS, or the Center for UFO Studies, began in 1973 as an effort from its founder, Dr. J. Allen Hynek, to create a scientific institution devoted to investigating UAP. Under the direction of Hynek, who was perhaps the most well known scientist in the UAP field, CUFOS served as an authoritative clearinghouse to vet UAP reports and to collect and share credible findings."
"https://enigmalabs.io/library/fb960871-c58f-4a61-b972-da884aee4da7","https://static.enigmalabs.io/library/fb960871-c58f-4a61-b972-da884aee4da7/a3dfee3d-1b9b-4328-b052-7f1c0e52637e.png","Project Sign","The emergence in 1947 of the Cold War confrontation between the United States and the Soviet Union also heralded in the first wave of UAP sightings in America. Claims of strange lights and flying objects were so numerously reported that in 1948 Air Force General Nathan Twining, head of the Air Technical Service Command, established Project SIGN to collect, evaluate and distribute information relating to these sightings, and distribute within the government."
"https://enigmalabs.io/library/0360df79-69e1-49d1-bb47-124952ecb9b3","https://static.enigmalabs.io/library/0360df79-69e1-49d1-bb47-124952ecb9b3/ae024501-94ad-4a79-adc3-83d6e560cbc6.png","The UK's Flying Saucer Working Party","According to British historian David Clarke, throughout the 1950s, the United Kingdom’s Ministry of Defence tried to debunk UAP sightings as weather balloons, or meteors to help ease the fears of the public, despite taking the issue seriously behind closed doors. This was around a time of heightened tension due to the threats of the Cold War."
"https://enigmalabs.io/library/3396bbf7-0cae-47c5-8f58-607063dc01c8","https://static.enigmalabs.io/library/3396bbf7-0cae-47c5-8f58-607063dc01c8/aaadd0d4-fb53-4c27-b323-e6ed5793b2dc.png","Blue Book Special Report 14 and the Robertson Panel","In 1953, a team of researchers finished a statistical analysis of 3,201 UAP reports from the files of the U.S. Air Force’s Aerial Phenomenon Group, which went by the codename Project Blue Book. The analysis remains among the largest studies of its kind and represents the height of the U.S. Air Force’s effort to investigate the post-WWII “UFO” mystery."
"https://enigmalabs.io/library/53a1f76e-0376-4314-9bbf-f66ee47f4770","https://static.enigmalabs.io/library/53a1f76e-0376-4314-9bbf-f66ee47f4770/791260b8-30f9-455f-8c3b-a526a628aa69.png","The 1999 COMETA UAP Report","The COMETA report is a 90-page French study of the UFO phenomenon issued in July 1999.  Designed to be an analysis of the best evidence available on UFOs at the time, particularly from the standpoint of national defense, the COMETA report is famous for concluding that the most likely explanation for the hardest to explain cases was that the crafts were likely of Extraterrestrial origin. Published as a special edition of the French magazine VSD, the report is still available in French and English."
"https://enigmalabs.io/library/d3b9f01b-ddb8-4ecf-bcf4-832e413200bf","https://static.enigmalabs.io/library/d3b9f01b-ddb8-4ecf-bcf4-832e413200bf/456434d1-2c93-4cc2-abc2-728b5cfcc76c.png","The National UFO Reporting Center (NUFORC)","The National UFO Reporting Center (NUFORC), founded in 1974, by investigator Robert J. Gribble, receives, records, documents, and corroborates reports from individuals who have witnessed unusual, possibly UFO-related events.¹  NUFORC’s online database contains 150,000 reports of unexplained aerial phenomena from all 50 American states, the 13 provinces of Canada, and countries around the world."
"https://enigmalabs.io/library/537800b3-bbdb-4b25-b0e7-3c2b8603e92b","https://lh6.googleusercontent.com/nNjYlYS21SbDMDVmSjnqnH1Dwvza1x72caMo8yF55fxVPFR5IYxXOKIFp28-Pw0yjxGhzlStRXaC6ErbeCwzE9ZRdSdqwSIUpsKSsh8Cw1k3BLs3Tb_FGqb5RNH2eG1TyJaw_zlawS-Fbkmeumlq6unMiT87DD4wTBBHiji7b2BnTV1M5DtuQXAz","Project Grudge","Project Grudge was a short-lived United States Air Force investigation into reports of UFOs. Formed in 1949 as a replacement for the Air Force’s first official UFO investigation, Project Sign. Grudge was criticized for its lack of scientific rigor, with many researchers and former members accusing it of being a disinformation campaign designed specifically to reduce public interest in the flying saucer phenomena."
