bio,credibility,facebook,id,instagram,name,photo,picture,popularity,rank,role,twitter,website,photo.attributes.height,photo.attributes.width,photo.enablePublicUrl,photo.id,photo.mediaType,photo.name,photo.signedUrlTimeout,photo.size,photo.storageKey,photo.uploadKey,photo.uploadUrlTimeout,photo.version
,,,rec_cobdfd4jmvif9dabl0g0,,Albert K. Bender,,,,,,,,,,,,,,,,,,,
,,,rec_cobdfd4jmvif9dabl0gg,,Alex Dietrich,,,,,,,,,,,,,,,,,,,
,,,rec_cobdfd4jmvif9dabl0h0,,Anton Zeilinger,,,,,,,,,,,,,,,,,,,
"Gordon Cooper was one of the original Mercury Seven astronauts and claimed to have witnessed UFOs during his career., Leroy Gordon Cooper Jr. (March 6, 1927 – October 4, 2004) was one of the original seven astronauts in NASA's Mercury program and later spoke publicly about his UFO sightings.",,,rec_cobdfd4jmvif9dabl110,,Gordon Cooper,,,,2,Mercury astronaut,,,,,,,,,,,,,,
,,,rec_cobdfd4jmvif9dabl0ig,,Brig. General Roger Ramey,,,,,,,,,,,,,,,,,,,
"Elliot Budd Hopkins (June 15, 1931 – August 21, 2011) founded the Intruders Foundation and authored books on alien abduction phenomena.",,,rec_cobdfd4jmvif9dabl0j0,,Budd Hopkins,,,,,Pioneer in alien abduction research,,,,,,,,,,,,,,
,,,rec_cobdfd4jmvif9dabl0jg,,Calvin Parker,,,,,,,,,,,,,,,,,,,
,,,rec_cobdfd4jmvif9dabl0k0,,Carl Feindt,,,,,,,,,,,,,,,,,,,
,,,rec_cobdfd4jmvif9dabl0kg,,Carl Sagan,,,,,Astronomer and cosmologist,,,,,,,,,,,,,,
,,,rec_cobdfd4jmvif9dabl0l0,,Charles Hickson,,,,,,,,,,,,,,,,,,,
,,,rec_cobdfd4jmvif9dabl0lg,,Chris Styles,,,,,,,,,,,,,,,,,,,
,,https://www.facebook.com/nickpopeofficial,rec_cobdfd4jmvif9dabl1dg,,Nick Pope,,,,5,Former UK MoD UFO Project Head,@nickpopemod,http://www.nickpope.net,,,,,,,,,,,,
,,,rec_cobdfd4jmvif9dabl0mg,,Col. Thomas J. DuBose,,,,,,,,,,,,,,,,,,,
Colin Andrews has dedicated his career to studying crop circles and their potential connection to UFOs and paranormal activity.,,,rec_cobdfd4jmvif9dabl0n0,,Colin Andrews,,,,,Crop circle researcher,,,,,,,,,,,,,,
,,,rec_cobdfd4jmvif9dabl0ng,,Colin Andrews (Researcher),,,,,,,,,,,,,,,,,,,
,,,rec_cobdfd4jmvif9dabl0o0,,Colm Kelleher,,,,,,,,,,,,,,,,,,,
,,,rec_cobdfd4jmvif9dabl0og,,Colonel Wilfried De Brouwer,,,,,Belgian Air Force,,,,,,,,,,,,,,
,,,rec_cobdfd4jmvif9dabl0p0,,Corey Goode,,,,,,,,,,,,,,,,,,,
