claim,documentation,event,id,summary,witness,documentation.enablePublicUrl,documentation.id,documentation.mediaType,documentation.name,documentation.signedUrlTimeout,documentation.size,documentation.storageKey,documentation.uploadKey,documentation.uploadUrlTimeout,documentation.version
"I've been so lucky to have flown to the moon, but I sure would like to fly to some of those [UFO] places.",,,rec_cocrpk523jsre5gha9cg,,rec_cobdfd4jmvif9dabl0t0,,,,,,,,,,
"I've been involved in scores of accidents in the air. I've seen many, many things in the sky that I couldn't explain.",,,rec_cocrpk523jsre5gha9d0,,rec_cobdfd4jmvif9dabl110,,,,,,,,,,
"I've been asked [about UFOs] and I've said publicly I thought they were somebody else, some other civilization.",,,rec_cocrpk523jsre5gha9e0,,rec_cobdfd4jmvif9dabl160,,,,,,,,,,
"I don't know what it was, other than not an aircraft as we know it... I tried to get closer to it and it rapidly took off. It was a intense bright light.",,rec_cobdg3tbjt595h6375p0,rec_cocrpk523jsre5gha9eg,,rec_cobdfd4jmvif9dabl0p0,,,,,,,,,,
These things would be out there all day.,,rec_cobdg3tbjt595h6375p0,rec_cocrpk523jsre5gha9f0,,rec_cobdfd4jmvif9dabl1ig,,,,,,,,,,
"This is a difficult one to explain. You have rotation, you have high altitudes. You have propulsion, right? I don't know. You tell me.",,rec_cobdg3tbjt595h6375p0,rec_cocrpk523jsre5gha9fg,,rec_cobdfd4jmvif9dabl0gg,,,,,,,,,,
There were a number of different incidents.,,rec_cobdg3tbjt595h6375p0,rec_cocrpk523jsre5gha9g0,,rec_cobdfd4jmvif9dabl0gg,,,,,,,,,,
"If we extrapolate based on the best information we have available to us, we have to come to the conclusion that … other life probably exists out there and perhaps in many places",,,rec_cocrpk523jsre5gha9gg,,rec_cobdfd4jmvif9dabl1d0,,,,,,,,,,
"At no time, when the astronauts were in space were they alone: there was a constant surveillance by UFOs",,,rec_cocrpk523jsre5gha9h0,,rec_cobdfd4jmvif9dabl1jg,,,,,,,,,,
" The sun does not revolve around the earth.
 The United States government has been in business with little gray
 extraterrestrials for about 20 years.
 
 The first truth state here got Giordano Bruno burned at the stake
 in 1600 for daring to propose it was real.  The second truth has
 gotten far more people killed trying to state it publicly than
 will ever be known.",,,rec_cocrpk523jsre5gha9hg,"On December 29, 1987, Lear posted a Statement to ParaNet, an early bulletin board system dedicated to the paranormal, claiming that the US government has close contacts with extraterrestrials and were secretly ""promoting"" films like E.T.: The Extra-Terrestrial and Close Encounters of the Third Kind to influence the public to see extraterrestrials as ""space brothers"".[26] The document was revised on January 14, again in March, with a final revision dated August 25, 1988. The document describing a secret government committee, Majestic 12, making a treaty with Gray aliens, only to later realize they've been deceived by the aliens.[27][28]

The Statement claims a UFO coverup has been underway for 40 years. Lear argues that ""Germany may have recovered a flying saucer in 1939"" and discusses the 1946 American military investigation into the Ghost rockets reported over Sweden. The Statement argues that many in the ""original group"" of insiders committed suicide, most notably James Forrestal. According to the narrative, Truman formed a group of twelve insiders, known as Majestic 12, to investigate the matter. The Statement lists three saucer crashes: one near Roswell. another near Aztec, New Mexico and a third near Laredo, Texas. According to the Statement, the US government covered a ""total, thorough and sweeping cover-up to include the use of 'deadly force'.""

The Statement references the 1952 Washington, D.C., UFO incident and a 1964 meeting with aliens at Holloman Air Force Base. Lear's Statement includes government-sanctioned alien abductions, alien implants, and Alien-Human hybrids. The Statement asserts that ""some of the nations missing children had been used for secretions and other parts required by the aliens"". Lear described UFOs in connect with cattle mutilations and even claims that human mutilations have occurred. Lear talks about Dulce Base and an altercation between aliens and the US military that led to 66 human casualties.

Lear's statement influenced Thomas Allen LeVesque, pen name ""Jason Bishop III"", who later admitted to fabricating stories about Dulce Base. [29][30]",rec_cobdfd4jmvif9dabl17g,,,,,,,,,,
" The sun does not revolve around the earth.
 The United States government has been in business with little gray
 extraterrestrials for about 20 years.
 
 The first truth state here got Giordano Bruno burned at the stake
 in 1600 for daring to propose it was real.  The second truth has
 gotten far more people killed trying to state it publicly than
 will ever be known.",,,rec_cocrpk523jsre5gha9hg,"On December 29, 1987, Lear posted a Statement to ParaNet, an early bulletin board system dedicated to the paranormal, claiming that the US government has close contacts with extraterrestrials and were secretly ""promoting"" films like E.T.: The Extra-Terrestrial and Close Encounters of the Third Kind to influence the public to see extraterrestrials as ""space brothers"".[26] The document was revised on January 14, again in March, with a final revision dated August 25, 1988. The document describing a secret government committee, Majestic 12, making a treaty with Gray aliens, only to later realize they've been deceived by the aliens.[27][28]

The Statement claims a UFO coverup has been underway for 40 years. Lear argues that ""Germany may have recovered a flying saucer in 1939"" and discusses the 1946 American military investigation into the Ghost rockets reported over Sweden. The Statement argues that many in the ""original group"" of insiders committed suicide, most notably James Forrestal. According to the narrative, Truman formed a group of twelve insiders, known as Majestic 12, to investigate the matter. The Statement lists three saucer crashes: one near Roswell. another near Aztec, New Mexico and a third near Laredo, Texas. According to the Statement, the US government covered a ""total, thorough and sweeping cover-up to include the use of 'deadly force'.""

The Statement references the 1952 Washington, D.C., UFO incident and a 1964 meeting with aliens at Holloman Air Force Base. Lear's Statement includes government-sanctioned alien abductions, alien implants, and Alien-Human hybrids. The Statement asserts that ""some of the nations missing children had been used for secretions and other parts required by the aliens"". Lear described UFOs in connect with cattle mutilations and even claims that human mutilations have occurred. Lear talks about Dulce Base and an altercation between aliens and the US military that led to 66 human casualties.

Lear's statement influenced Thomas Allen LeVesque, pen name ""Jason Bishop III"", who later admitted to fabricating stories about Dulce Base. [29][30]",rec_cobdfd4jmvif9dabl17g,,,,,,,,,,
There was a whole fleet of them. They were traveling against the wind at high speeds.,,,rec_cocrpk523jsre5gha9c0,,rec_cobdfd4jmvif9dabl18g,,,,,,,,,,
UFO followed Apollo 11 to the moon,,rec_cokjlu2o50dbfnaci6r0,rec_cokjngqo50dbfnaci6s0,"""On Apollo 11 in route to the Moon, I observed a light out the window that appeared to be moving alongside us. There were many explanations of what that could be, other than another spacecraft from another country or another world - it was either the rocket we had separated from, or the 4 panels that moved away when we extracted the lander from the rocket and we were nose to nose with the two spacecraft. So in the close vicinity, moving away, were 4 panels. And I feel absolutely convinced that we were looking at the sun reflected off of one of these panels. Which one? I don't know. So technically, the definition could be 'unidentified.'""",rec_cokjn8kuttukesrsanu0,,,,,,,,,,
