"w-full href","object-cover src","mx-auto src","uppercase","clamp-4","text-white"
"https://enigmalabs.io/library/0f7d8d3a-0bf8-4d9e-b81f-54037acc1fca","https://static.enigmalabs.io/static/images/placeholder/control-tower.png","about:blank","Chicago O’Hare International Airport, Illinois, November, 2006","On November 7, 2006, at least 12 United Airlines personnel and potentially hundreds of other witnesses noticed a dark gray metallic disk hovering above United Airlines Gate C17 at Chicago O’Hare airport. The object was estimated to be about 22 feet in diameter, and hovered approximately 1500 feet off the ground below a heavy cloud cover for at least 20 minutes before propelling upwards, punching a hole through the cloud. Some witnesses also said the object was spinning. Among the witnesses were managers, runway crew, and airline pilots. The Federal Aviation Administration (FAA) reported that no air traffic controllers saw the object and that it never showed up on radar, though subsequent FOIA requests revealed this may not have been true.
The significance of the case lies principally in its aftermath: media coverage of the event exploded across local, national, and international news, and the FAA came under scrutiny for initially denying the existence of any witness reports from airline personnel. When they were later forced to admit that reports did exist, they still refused to investigate them. The FAA’s response to the event is reflective of a forty-year legacy of U.S. government agencies shielding UFO activity and investigations from the public domain, and the stigma that witnesses may face when coming forward with testimony.
 NARCAP, an independent UFO investigation group, also conducted their own research into the O’Hare incident. A team of NASA scientists, pilots, meteorologists, and aerospace engineers spent 5 months preparing a 154 page report confirming the presence of a physical object over O’Hare. The report, co-authored by NARCAP’s founder Dr. Richard Haines, concluded that the object’s maneuvers could not be explained by conventional means, and advised the FAA to launch their own investigation.","SIGHTING"
"https://enigmalabs.io/library/90c6dc7d-71ce-4a21-9c86-c0370a72ccc6","https://static.enigmalabs.io/library/90c6dc7d-71ce-4a21-9c86-c0370a72ccc6/e1679d62-e9e4-4045-af5f-9669885633d6.png","about:blank","The Belgian UAP Wave, 1989-1991","From November 1989 to April 1990, witnesses reported a series of anomalous objects at night in Belgium. The witnesses reported seeing large, flat, slow-moving triangular objects with lights underneath. Most witnesses said that the objects were silent. On November 29, 30 groups of civilian witnesses and three groups of police officers reported seeing anomalous aerial objects at low altitudes. Officials tracked these objects moving from Liege to the German border. On March 30, 1990, at 11 pm, a Belgian police captain said he saw a giant triangle passing over, and two ground radar stations also detected the object. These two NATO-operated radar stations contacted other facilities and learned that four other stations also detected objects that did not send transponder signals. Two Air Force F-16s were scrambled to investigate. The pilots attempted nine intercepts but said the objects appeared and disappeared and maneuvered at speeds beyond any known capability, dropping from 10,000 to 500 feet in 5 seconds. They never saw anything by eye that they could not pick up on the radar and returned to the base at 1 am. The local gendarmerie sent a patrol who described seeing four lights in formation making jerky movements before gradually losing their luminosity and disappearing around 1:30 am. There is no photographic evidence from that night - in 1990, a man named Patrick M released photographs, but in 2011 he admitted they were a hoax. Locals filed 143 independent reports in the two weeks following that night. After local media attention on the events, over 2,600 local people claimed to be witnesses.","SIGHTING"
"https://enigmalabs.io/library/41d82ebf-d3dc-4c39-9d0f-3d67af4dee8a","https://static.enigmalabs.io/library/41d82ebf-d3dc-4c39-9d0f-3d67af4dee8a/ac0f393a-28d4-4c10-84ef-9ffd8c342f0e.gif","about:blank","USS Nimitz Carrier Strike Group, Off the coast of San Diego, November, 2004","During a routine training mission with the aircraft carrier USS Nimitz off the southern California coast on November 14th, 2004, U.S. Navy Lieutenant Commander Alex Dietrich and her then-commanding officer, David Fravor, received a request from another warship to interrupt their routine training mission to investigate strangely moving radar contacts in the area.
“We’ve been tracking these things for two weeks...this is the first time we’ve had planes airborne and we want you to go see what these are,” Fravor remembers the U.S.S. Princeton officer telling him.
When the pilots reached the assigned location, they spotted a disturbance under the water that Fravor thought looked something like the size of a Boeing 737 airplane. Dietrich and Fravor then saw what they described as a smooth, white oblong object resembling a Tic Tac flying at high speed across the water—Dietrich estimated that it was skimming 500 to 1,000 feet above the water at around 500 knots (575 mph).
Dietrich’s F/A-18 Super Hornet’s onboard radar couldn’t detect the object, but her weapons systems operator (WSO), who has remained anonymous, was sitting in the rear seat and saw it too.
Dietrich recalled. Speculating about what it could be, she said, “we don’t know what it was, but it could have been a natural phenomenon in human activity. But the point was that it was weird, and we couldn’t recognize it.” In a CBS 60 Minutes interview, she noted how it had no “predictable movement and no predictable trajectory.”
Fravor described it as a “ping pong ball...very random.” Fravor turned to “engage” with the object, which responded in a way that “lacked any visible flight control surfaces or means of propulsion,”
It then turned abruptly and “started mirroring” Fravor’s aircraft as he began a slow circular descent toward it. 
He then made the decision to cut across and head directly toward the object, at which point it disappeared. The underwater object had also disappeared. The fighters conferred with the Princeton and were told to head to a rendezvous point about 60 miles away, where the object had appeared again. However, when they arrived, it had disappeared once more.
An hour after Fravor’s group of pilots witnessed the object, Lieutenant Commander Chad Underwood managed to capture the object on video.","SIGHTING"
"https://enigmalabs.io/library/d974999d-692a-4245-bf21-d893ef3da64d","https://static.enigmalabs.io/library/d974999d-692a-4245-bf21-d893ef3da64d/dc6d974a-aede-42ce-869f-d605f967a3c3.jpeg","about:blank","Ariel School, Ruwa, Zimbabwe, September, 1994","Around 10 o’clock on the morning of September 16th, 1994, 62 Ariel School students between the ages of 5 and 12 years old reported that a flying object had landed on the school’s grounds. The teachers were in a meeting, so the children were essentially unsupervised during their morning break in the schoolyard. The only available adult was one of the students’ mothers, who was operating the school “tuck shop–a sort of snack bar where candy, snacks and soda are sold.” The children said that they first saw three objects, which would “disappear and reappear in a different location.” The objects gradually approached the ground and eventually landed in a “brushy area” that was about 100 meters from the schoolyard and off-limits to the students. The children said that a small man, about one meter in height, appeared on top of the object and walked across the ground toward the students until he noticed them. Then, he “vanished and reappeared on top of the object,” which then took off and disappeared. The younger children were very frightened and called for help, because they believed the little man was a demon who would eat them. They ran to the tuck shop operator, Mrs. Alyson Kirkman, a physiotherapist that was volunteering at the school, but she did not want to leave the shop unattended and so did not go with them. According to an interview with documentary filmmaker Randall Nickerson, who is directing a documentary on the subject, “the children were not initially believed by the teachers or the headmaster, but after they had gone home to their parents and shared the story with their parents, the headmaster had them come back and draw what they saw. There were 60 drawings made.”","SIGHTING"
"https://enigmalabs.io/library/931061e0-3eb3-497f-8535-a62aea968217","https://static.enigmalabs.io/library/931061e0-3eb3-497f-8535-a62aea968217/3438e257-682b-4bae-9e89-ee8131eb7842.jpeg","about:blank","Tehran, Iran, September, 1976","On September 18, 1976 in Tehran, Iran, at approximately 10:30 PM, Hossein Pirouzi, an experienced air traffic controller manning an Imperial Iranian Air Force (IIAF) command post at Mehrabad International Airport, was leading a training for a group of air controllers. Pirouzi received the first of four sightings reports: a call from a woman northeast of the airport who saw a luminous object glowing red, yellow, and orange. It was shaped like a four-blade fan, and seemed to split in two. A few minutes later, another caller reported a similar object in the same area of the sky, one which also split in two and then rejoined as one.
The tower radar was under repair, so Pirouzi could not confirm the UFO, but after receiving two more calls in the next half hour, he stepped outside to look through his binoculars: in the direction of the callers' sightings, he saw a luminous cylindrical object sitting horizontally in the sky about 1.8 kilometers, or 6000 feet, off the ground. He guessed that it was 8 meters wide, or just over 26 feet. Each end was glowing blue, and a red light was making an orbit around the center every second or two, and pausing every 90 degrees. The entire cylinder was rocking back and forth like a seesaw.
As it got closer, Pirouzi saw it slowly change into a drooping star-shape with a green body and a red glowing core. The arms of the star were dark orange, fading to yellow at the tips. It seemed to have four arms, though Pirouzi believed that there was actually only one arm, switching positions. When Pirouzi's trainees looked through the binoculars shortly after, they saw a semi-circle. The object seemed to be constantly changing shape.
Two F-4 Iranian Airforce jets were scrambled to investigate the UAP, lost instrumentation and communications as they approached it, and suffered temporary weapons systems failure while preparing to open fire. The UAP was seen both visually by the pilots and on radar.
The incident is recorded in a four page U.S. Defense Intelligence Agency (DIA) paper which was distributed to the White House, Secretary of State, Joint Chiefs of Staff, NSA and CIA. It is one of the most well-documented military encounters with anomalous phenomena. The case is also exemplary for its mix of radar data, physical effects on military craft (such as the loss of weapons control), and multiple independent witnesses from different geographical locations and physical viewpoints (both airborne and from the ground). The case is also notable for the international collaboration of the investigations; U.S. intelligence agencies took over official documentation of the incident.","SIGHTING"
"https://enigmalabs.io/library/2988d0c5-9818-444d-b67e-86dd9cf5126b","https://static.enigmalabs.io/library/2988d0c5-9818-444d-b67e-86dd9cf5126b/8ce174fa-7f44-4e52-9444-133ea7d9e951.png","about:blank","Houston, Texas, December, 1980 (Cash-Landrum)","At around 9 p.m. on the evening of Dec. 29, 1980, Betty Cash, Vickie Landrum, and Vickie's 7 year-old grandson Colby Landrum were driving home to Dayton, Texas not too far from Houston’s Intercontinental Airport. They witnessed a large light in the sky above the trees. As they drove, they noticed the light getting brighter and closer, and claimed the light was coming from a huge, dark diamond-shaped object, which hovered at about treetop level, and that its base was expelling flames and emitting significant heat. They exited the Oldsmobile to get a better look. Landrum (a born-again Christiian) believed the object to be “the Second Coming of Jesus Christ,” and referred to the object as “Jesus” to Colby, and that it would not hurt them. Small blue lights were seen on the object, and as flames continued to come out the bottom of the craft forming a cone-like shape, the witnesses felt the heat intensify.
The heat was strong enough to make the car's metal body too hot to touch, and the car handle also felt scorching, according to Landrum. When she touched the dashboard, she claimed her hand pressed into the softened vinyl of the car’s interior and left an imprint that was used as evidence later on (no photograph of this imprint exists).
As the object ascended higher above the trees, 23 Boeing CH-47 Chinooks helicopters arrived to surround the object in a tactical formation. Later on that night, the witnesses reportedly experienced similar symptoms of generalized weakness, nausea, vomiting, diarrhea, a burning sensation in their eyes, and a sunburn-like afterglow. Cash said her symptoms worsened days later with many large, painful blisters forming on her skin. In the HBO documentary, ""UFOs: What's Going On"" (1985), Cash said she was treated for breast cancer after being exposed to a ""radioactive UFO"". The Landrums reported lingering weakness, skin sores, hair loss and eventually severe cataracts.
Cash's personal physician Dr. Brian McClelland said to the Houston Post that her condition was a textbook case of radiation poisoning. McClelland likened it to being comparable to being ""3-5 miles from the epicenter of Hiroshima.”
Cash and Landrum decided to contact their U.S. Senators Lloyd Bentsen and John Tower.They filed a complaint with the Judge Advocate Claims office at Bergstrom Air Force Base. After they were interviewed by personnel at Bergstrom Air Force Base, they were advised that they should hire a lawyer, and seek financial compensation for their injuries from the incident on Dec.29.
In 1986, the case was dismissed by the U.S. District Court Judge. The judge argued that the plaintiffs could not prove their case that what they encountered was not related to the U.S. federal government, and the army did not have a pyramid-shaped aircraft in its arsenal. Ultimately, many experts in UAP studies, as well as news outlets like Texas Monthly, consider the outcome of the Cash-Landrum incident as inconclusive.","SIGHTING"
"https://enigmalabs.io/library/b6b48961-2a68-4c93-b2e4-884256782ea3","https://static.enigmalabs.io/library/b6b48961-2a68-4c93-b2e4-884256782ea3/de9b5153-e117-44f8-ab14-056e4d2b55c8.png","about:blank","USS Theodore Roosevelt Carrier strike group, 2014-2015","Early 2015, several incidents involving UAP were reportedly observed by U.S. Navy personnel with the USS Theodore Roosevelt carrier strike group. Some of these UAP encounters were observed both visually and on radar, and in two instances produced footage of objects the Department of Defense later authorized for release and characterized as “unidentified.” The UAP sightings, initially reported by The New York Times in May 2019, were said to have occurred “almost daily” for periods between the summer of 2014 and the Theodore Roosevelt’s deployment in March of the following year. 
Although the appearance of the UAP varied between accounts, most of the objects were described by Navy personnel as small and lacking features. One description of the objects likened the UAP to “a spinning top moving against the wind.” In another incident involving pilots who reported a near midair collision as one of the objects flew between them, the UAP was said to resemble “a sphere encasing a cube.” According to the Times, Navy pilots who observed these objects said that no engines or power sources were visible on the UAP, and that exhaust plumes or other evidence of propulsion also remained absent when observing the UAP through infrared imaging systems.
According to former Navy lieutenant and F/A-18F pilot Ryan Graves, the objects sometimes resembled “gauzy blobs” when viewed through cockpit displays. The UAP sightings reportedly occurred so frequently between late 2014 and early 2015 that pilots began calling them “those damn things” when they appeared.⁷ Graves told the Times that the objects “would be out there all day,” and were reportedly observed remaining in the air for periods of as much as 12 hours. 
Along with Lieutenant Graves, the objects were also observed by Lieutenant Danny Accoin and others in Strike Fighter Squadron 11 (VFA-11), the “Red Rippers”, a United States Navy strike fighter squadron out of Naval Air Station Oceana, Virginia. Three pilots with the squadron who spoke with the Times in 2019 declined to be named. The UAP incidents reportedly “tapered off” once Theodore Roosevelt was deployed for its mission in the Persian Gulf in March 2015. However, Graves later clarified that he “did occasionally see radar signatures that performed in ways that were consistent with our experiences back home, though at a significantly reduced rate.”","SIGHTING"
"https://enigmalabs.io/library/a5a0fe8d-7a9f-4b6e-a2ae-b34a09b14e2c","https://static.enigmalabs.io/library/a5a0fe8d-7a9f-4b6e-a2ae-b34a09b14e2c/c549661b-fb80-42bd-9f7c-11d9e63c9076.jpeg","about:blank","Airship Sighting Wave of 1896 to 1897","From November 1896 to May 1897, a curious phenomena swept the United States of America. People in California, the Midwest, Texas and elsewhere alleged sightings of lights and objects in the sky they most commonly described as “airships”.","SIGHTING"
"https://enigmalabs.io/library/7ef52957-c2b4-46c4-8355-5f7f35076b6f","https://static.enigmalabs.io/library/7ef52957-c2b4-46c4-8355-5f7f35076b6f/1d9f25e9-17b9-4e34-8fca-6ed00fa4fa11.webp","about:blank","Kelly, Kentucky, August 21, 1955","On the night of August 21, 1955, Billy Ray Taylor, while visiting his friends, the Suttons, was convinced he had seen a flying saucer land in a ravine behind the rural Kentucky home. At first the family laughed him off. But soon after, the 11 witnesses present that night claim they saw otherworldly creatures, with undersized bodies and oversized heads. Taylor and Elmer “Lucky” Sutton, grabbed their .22 caliber pistols and went through four boxes of ammunition firing at the interlopers. Then they went to the police.
“More than a dozen state, county, and city officers from Christian and Hopkins counties went to the scene between 11 p.m. and midnight and remained until after 2 a.m. without seeing anything either to prove or disprove the story about the ship and its occupants,” reported a local newspaper. They were joined by military police from nearby Fort Campbell and a photographer from the Kentucky New Era newspaper. They found no evidence of heavy drinking. According to Glennie Lankford, the matriarch of the Sutton clan, “liquor was not allowed in the farmhouse.”
The next day local radio personality and professional sketch artist Andrew ""Bud"" Ledwith interviewed Taylor, Lankford and other adult witnesses and separately asked them to provide descriptions of what they'd seen. The sketch drawings were consistent: the gremlin-like creature was about three feet tall with pointed ears, large claw-like talons, long limbs and legs apparently atrophied as it hovered ghost-like while ""swimming"" through the air.⁵ Reports of the incident attracted the attention of the Air Force UAP investigation program Project Blue Book. The investigators checked with their counterparts at Fort Campbell who had visited the scene but did not pursue the incident further. “Lacking factual, confirming data,” stated one Air Force document declassified 20 years later, “no credence can be given this almost fantastic report.” According to another Blue Book document, “no official investigation was ever made.”
Isabel Davis, a researcher who wrote up her findings for the Center for UFO Studies in 1955, visited Kelly and was struck by the limited but revealing testimony of Glennie Lankford who said she saw one of the creatures just a few feet away through a screened window. “She was the most impressive witness,” said Russell Greenwell, the police chief of nearby Hopkinsville. “She's the type of person who wouldn't tell a lie if her life depended on it.”
While the Project Blue Book investigators did not find the case credible, their scientific consultant Dr. J. Allen Hynek did, claiming his own investigation yielded no evidence of a hoax. Although the creatures were not reported to be green, this case is often credited as the beginning of the term “little green men” being associated with UAP reports.","SIGHTING"
"https://enigmalabs.io/library/f53c2a78-5a8c-4bc2-8362-ed289a89e2a0","https://static.enigmalabs.io/library/f53c2a78-5a8c-4bc2-8362-ed289a89e2a0/5c659883-8533-4b3c-82ea-73c65fb94443.png","about:blank","Kaikoura Mountains, New Zealand, December 21, 1978","On December 21, 1978, at about 11:30 pm, Ian Uffindall, an officer in the Royal New Zealand Air Force, was patrolling an RNZAF base outside the town of Blenheim on the east coast of New Zealand’s southern island when he spotted from the tarmac a light in the sky that he initially took as an aircraft approaching to land. The apparent plane, however, never landed, and so Uffindall went to the base’s control tower and observed the light through binoculars. The light reversed direction and became three lights, which then executed geometric maneuvers while shining beams of light on the ground, Uffindall later recalled to documentarian Paul Davidson in the film The Kaikoura UFO’s.
The Blenheim base contacted air traffic control in Wellington, which is across the Cook Strait on the southern tip of New Zealand’s northern island.
Wellington air traffic controller John Cordry confirmed that the lights witnessed by Uffindall appeared as objects on Wellington radar and that the radar station had received multiple calls that night about the lights. Cordry contacted two Safe Air cargo planes that were airborne nearby and asked them to check out the area of the reported lights. (Safe Air, now called Airbus New Zealand LTD, is a freight airplane manufacturer and airline based in Blenheim that has long operated in close cooperation with the RNZAF.)
One of the planes, an Argosy ZK-SAE called Merchant Enterprise, headed towards the given coordinates where its captain and pilot, Vern Powell, and its first officer and co-pilot, Ian Pirie, soon observed a bright object emerge from the clouds on the Argosy’s port side.
Pirie later told Davidson the object was “so close it was almost frightening.” “It was the size of a house, burning in the sky,” Pirie said. “It was that sort of color and intensity … That’s what it looked like.” Powell and Pirie observed the light for several minutes, during which time the “target” remained on both Wellington radar and the Argosy’s radar.
The crew of the second Safe Air plane also observed strange lights just before 2am.
These airborne sightings, which occurred over the Kaikoura Mountains running along the northeastern coast of New Zealand’s southern island, matched numerous sightings from the ground. Several news stories on the sightings ran the following day on television, newspaper and radio. Channel 0 reporter Quentin Fogarty decided to retrace the flight path of the Merchant Enterprise. On December 30, 1978, at 11:46 pm, he took off from Wellington with freelance camera operator David Crockett, and David’s then-wife sound recordist Ngiare Crockett on board.
A few minutes into the flight, just as Fogarty had just finished delivering an opening for the news story to camera, Startup allegedly called the Channel O crew to the cockpit. All onboard witnessed several lights that first appeared as “pulsating … pinpricks of light that would grow into great globes of light,” according to Fogarty. Reportedly, one light was stronger and apparently larger than the others. The smaller lights seemed to “dip away,” according to Ngaire, and then reappear closer to the larger light.
Dr. Bruce Maccabee, a Mutual UFO Network contributor and physicist specializing in optics at the U.S. Naval Surface Weapons Center, traveled to Australia and New Zealand to investigate the sighting and footage. Maccabbee concluded that the appearance of Venus and Jupiter neither matched the sequence of events, explained the shape of the lights throughout the footage captured by Crockett, were consistent with the way light “scatters” on film, nor explained the radar readings of objects tailing the Argosy at high speeds.
As for the size of the UAP captured on film, Maccabee analyzed frames depicting a “bell shaped” UAP at an estimated distance of 10 nautical miles. Accounting for the overexposure on the film, the effect of the camera’s 240 millimeter lens and the UAP’s brightness, which Maccabee estimated to be roughly equivalent to a 350,000 watt incandescent bulb, he estimated the size of the UAP to be about 100 feet wide.","SIGHTING"
