id,date,description,latitude,location,longitude,metadata,name,photos,summary,title
rec_cobdg3tbjt595h6375kg,2014-06-02T05:00:00Z,"Navy pilots from the Theodore Roosevelt began to notice
unexplained objects on their radar after an equipment upgrade.
Some pilots were unable to see the objects. Others captured
video footage, later released to the public. The pilots reported
these incidents to the then-obscure Advanced Aerospace Threat
Identification Program resulting in new guidelines regarding
unexplained aerial phenomena sightings. ",38.0296," East Coast of the United States",-77.9282,{},"USS Theodore Roosevelt UFO Encounter",,,
rec_cobdg3tbjt595h6375l0,2010-01-25T06:00:00Z,"At least three UFOs that looked like missiles but emitted no
noise were spotted over Harbour Mille. ",47.5901," Harbour Mille, Newfoundland and Labrador NA, Canada",-54.867,{},"Harbour Mille
incident",,,
rec_cobdg3tbjt595h6375lg,2009-01-05T06:00:00Z,"In the evening, citizens in Morristown and other town in Morris
County, New Jersey saw five red lights in the sky. After three
months, two men from the Morristown area announced that they
had organized a UFO hoax, meant as a ""social experiment"" [183]",40.7968," Morristown, New Jersey NA, United States",-74.4815,{},"Morristown
UFO hoax",,,
rec_cobdg3tbjt595h6375m0,2008-06-20T05:00:00Z,"Over the Bristol Channel, a South Wales Police helicopter took
evasive actions to avoid what the crew described as a saucer-
shaped UFO. [179][180][181][182]",52.1307," Various cities, Wales EU, United Kingdom",-3.7837,{},"Wales UFO
sightings",,,
rec_cobdg3tbjt595h6375mg,2007-11-28T06:00:00Z,"The ""Dudley Dorito"" refers to a series of black triangle sightings
reported in the West Midlands conurbation. [177][178]",52.4751," West Midlands conurbation EU, United Kingdom",-1.8298,{},"Dudley Dorito",,,
rec_cobdg3tbjt595h6375n0,2007-04-23T05:00:00Z,"On separate flights, two airline pilots and multiple passengers
reported a ""sunlight-coloured"" object off the coast of Alderney.
One of the pilots, Ray Bowyer, filed a report with Britain's Civil
Aviation Authority upon landing. [174][175][176]",49.715," Alderney EU, Bailiwick of Guernsey",-2.1974,{},"2007 Alderney
UFO sighting",,,
rec_cobdg3tbjt595h6375ng,2006-11-07T06:00:00Z,"Airport employees and pilots",41.9803," O'Hare International Airport, Chicago, Illinois, USA",-87.909,{},"O'Hare Airport UFO Sighting",,,
rec_cobdg3tbjt595h6375o0,2006-11-01T06:00:00Z,"United Airlines employees and pilots reported sightings of a
saucer-shaped, unlit craft hovering over a Chicago O'Hare Airport
terminal, before appearing to leave with a rapid vertical rise. [173]",41.8246," Chicago, Illinois NA, United States",-87.6485,{},"2006 O'Hare
International
Airport UFO
sighting",,,
rec_cobdg3tbjt595h6375og,2006-05-04T05:00:00Z,"Eyewitnesses and village residents reported a UFO sighting on
May 4 around 7:00 pm. An unidentified object landed, leaving
three double-banded black circles in the asphalt which Alim
Cepele photographed. Witnesses described a sudden darkness,
mist, bent tree branches, and a cold wind. A 10-year-old boy saw
a disc-shaped object with a gray color and a thin blue line on the
ground for a few seconds. The incident left the boy in shock for
about three months. Other residents claimed to have seen the
marks on the asphalt and observed that rose petals were burned
when placed on the landing site. [171][172]",40.7379," Roskovec EU, Albania",19.7041,{},"Roskovec
UFO Landing",,,
rec_cobdg3tbjt595h6375p0,2004-11-14T06:00:00Z,"Several pilots from VFA-41 squadron flying Super Hornets from
the USS Nimitz, were directed by the USS Princeton to intercept
one of several unidentified flying objects detected by radar. The
pilots reported a visual encounter and recorded an infrared video.
The Navy has verified that the video was taken by Navy
personnel and has stated that it has not yet identified the nature
of the sightings which they classify as unexplained aerial
phenomena. During a routine training mission with the aircraft carrier USS Nimitz off the southern California coast on November 14th, 2004, U.S. Navy Lieutenant Commander Alex Dietrich and her then-commanding officer, David Fravor, received a request from another warship to interrupt their routine training mission to investigate strangely moving radar contacts in the area.
“We’ve been tracking these things for two weeks...this is the first time we’ve had planes airborne and we want you to go see what these are,” Fravor remembers the U.S.S. Princeton officer telling him.
When the pilots reached the assigned location, they spotted a disturbance under the water that Fravor thought looked something like the size of a Boeing 737 airplane. Dietrich and Fravor then saw what they described as a smooth, white oblong object resembling a Tic Tac flying at high speed across the water—Dietrich estimated that it was skimming 500 to 1,000 feet above the water at around 500 knots (575 mph).
Dietrich’s F/A-18 Super Hornet’s onboard radar couldn’t detect the object, but her weapons systems operator (WSO), who has remained anonymous, was sitting in the rear seat and saw it too.
Dietrich recalled. Speculating about what it could be, she said, “we don’t know what it was, but it could have been a natural phenomenon in human activity. But the point was that it was weird, and we couldn’t recognize it.” In a CBS 60 Minutes interview, she noted how it had no “predictable movement and no predictable trajectory.”
Fravor described it as a “ping pong ball...very random.” Fravor turned to “engage” with the object, which responded in a way that “lacked any visible flight control surfaces or means of propulsion,”
It then turned abruptly and “started mirroring” Fravor’s aircraft as he began a slow circular descent toward it. 
He then made the decision to cut across and head directly toward the object, at which point it disappeared. The underwater object had also disappeared. The fighters conferred with the Princeton and were told to head to a rendezvous point about 60 miles away, where the object had appeared again. However, when they arrived, it had disappeared once more.
An hour after Fravor’s group of pilots witnessed the object, Lieutenant Commander Chad Underwood managed to capture the object on video.",32.7157," San Diego, California, USA",-117.1611,{},"USS Nimitz UFO Encounter",,,
rec_cobdg3tbjt595h6375pg,2004-03-05T06:00:00Z,"Mexican Air Force pilots filmed (initially unidentified) lights in the
sky using infrared cameras while searching for drug-smuggling
planes. Multiple subsequent investigations identified these as massive burn-off flares from a cluster of off-shore oil platforms
in the Bay of Campeche. [165][166][] [167]",19.8301," Campeche NA, Mexico",-90.5349,{},"2004 Mexican
UFO incident",,,
rec_cobdg3tbjt595h6375q0,2004-01-01T06:00:00Z,"On Halloween night (2004), residents were outside trick-or-
treating on the streets of Tinley Park and other Chicago suburbs,
when thousands of people watched, photographed, and filmed a
formation of red lights above them. [162][163][164]",40.6331," Illinois NA, United States",-89.3985,{},"Tinley Park
Lights",,,
rec_cobdg3tbjt595h6375qg,2000-10-01T00:00:00Z,"Resident, Sharon Rowlands, filmed a luminous object in the
night sky starting around 9:15 pm and continuing for several
minutes. Various other residents reported strange lights including
a man who described a ""pink glow, vertically shaped like a shoe
box"". [159][160][161]",53.1211012," Bonsall, Derbyshire EU, United Kingdom",-1.5843425,{},"Bonsall UFO
sighting",,,
