id,city,coordinates,google-maps-location-id,latitude,longitude,name,state
rec_cp1v7934f9p514bq683g,"Coalville","52.702149, -1.369166",,52.702149,-1.369166,"Coalville, England","England"
rec_cp1v7934f9p514bq6840,"Flora","40.5472222, -86.5244444",,40.5472222,-86.5244444,"Flora, Indiana","Indiana"
rec_cp1v7934f9p514bq684g,"Yosemite National Park","37.865101, -119.538329","eyJpIjoiMzcuODY1MTAxLCAtMTE5LjUzODMyOSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjM3Ljg2NTEwMSwibG5nIjotMTE5LjUzODMyOSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",37.865101,-119.538329,"Yosemite National Park, California","California"
rec_cp1v7934f9p514bq6850,"Canton","42.3086111, -83.4822222",,42.3086111,-83.4822222,"Canton, Michigan","Michigan"
rec_cp1v7934f9p514bq685g,"Lorain","41.4527778, -82.1825",,41.4527778,-82.1825,"Lorain, Ohio","Ohio"
rec_cp1v7934f9p514bq6860,"Crest Hill","41.5547222, -88.0986111","eyJpIjoiNDEuNTU0NzIyMiwgLTg4LjA5ODYxMTEiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo0MS41NTQ3MjIsImxuZyI6LTg4LjA5ODYxMSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",41.5547222,-88.0986111,"Crest Hill, Illinois","Illinois"
rec_cp1v7934f9p514bq686g,"Fountain Valley","33.7091667, -117.9527778",,33.7091667,-117.9527778,"Fountain Valley, California","California"
rec_cp1v7934f9p514bq6870,"Dana","39.8077778, -87.495","eyJpIjoiMzkuODA3Nzc3OCwgLTg3LjQ5NSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjM5LjgwNzc3OCwibG5nIjotODcuNDk1LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlwS0ZxMmR1ZWV3V1JsNCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRZYzlhamtPQ1BJZXQxUCJ9LCJlIjowfQ==",39.8077778,-87.495,"Dana, Indiana","Indiana"
rec_cp1v7934f9p514bq687g,"Brightwood","38.4213889, -78.1938889","eyJpIjoiMzguNDIxMzg4OSwgLTc4LjE5Mzg4ODkiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0IjozOC40MjEzODksImxuZyI6LTc4LjE5Mzg4OSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",38.4213889,-78.1938889,"Brightwood, Virginia","Virginia"
rec_cp1v7934f9p514bq6880,"Elberta","30.406951, -87.606473","eyJpIjoiMzAuNDA2OTUxLCAtODcuNjA2NDczIiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6MzAuNDA2OTUxLCJsbmciOi04Ny42MDY0NzMsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXBLRnEyZHVlZXdXUmw0Il0sImxvY2F0aW9uRmllbGRJZCI6ImZsZFljOWFqa09DUElldDFQIn0sImUiOjB9",30.406951,-87.606473,"Elberta, Alabama","Alabama"
