id,subject-matter-expert,topic
rec_cobh2b4jmvif9dac1i3g,rec_cobdfd4jmvif9dabl0i0,rec_cobdesq5ojbselbdqr2g
rec_cobh2i5bjt595h63l27g,rec_cobdfd4jmvif9dabl140,rec_cobdesq5ojbselbdqr50
rec_cobh2msjmvif9dac1i40,rec_cobdfd4jmvif9dabl140,rec_cobdesq5ojbselbdqr40
rec_cobh2t5bjt595h63l280,rec_cobdfd4jmvif9dabl0i0,rec_cobdesq5ojbselbdqr60
rec_cobh33cjmvif9dac1i50,rec_cobdfd4jmvif9dabl100,rec_cobdesq5ojbselbdqrbg
rec_cobh36kjmvif9dac1i5g,rec_cobdfd4jmvif9dabl100,rec_cobdesq5ojbselbdqr40
rec_cocbntrtoib24jp051pg,rec_cobdfd4jmvif9dabl140,rec_cobdesq5ojbselbdqrag
rec_cocboav7gom81e15fgcg,rec_cobdfd4jmvif9dabl100,rec_cobdesq5ojbselbdqrag
rec_cocbqhrtoib24jp051qg,rec_cobdfd4jmvif9dabl0mg,rec_cobdesq5ojbselbdqrag
rec_cocbrfutp0ni9u4cn00g,rec_cobdfd4jmvif9dabl0ig,rec_cobdesq5ojbselbdqrag
rec_cocrhr523jsre5gha820,rec_cobdfd4jmvif9dabl170,rec_cobdesq5ojbselbdqrig
rec_cocrhr523jsre5gha82g,rec_cobdfd4jmvif9dabl170,rec_cobdesq5ojbselbdqrj0
rec_cocrhr523jsre5gha830,rec_cobdfd4jmvif9dabl1i0,rec_cobdet25ojbselbdqru0
rec_cocrhr523jsre5gha83g,rec_cobdfd4jmvif9dabl0r0,rec_cobdesq5ojbselbdqr7g
rec_cocrhr523jsre5gha840,rec_cobdfd4jmvif9dabl0tg,rec_cobdesq5ojbselbdqr8g
rec_cocrhr523jsre5gha84g,rec_cobdfd4jmvif9dabl0h0,rec_cobdesq5ojbselbdqr90
rec_cocrhr523jsre5gha850,rec_cobdfd4jmvif9dabl1k0,rec_cobdesq5ojbselbdqrcg
rec_cocrhr523jsre5gha85g,rec_cobdfd4jmvif9dabl1m0,rec_cobdesq5ojbselbdqri0
rec_cocrhr523jsre5gha860,rec_cobdfd4jmvif9dabl100,rec_cobdesq5ojbselbdqr2g
rec_cocrhr523jsre5gha86g,rec_cobdfd4jmvif9dabl100,rec_cobdesq5ojbselbdqra0
rec_cocrhr523jsre5gha870,rec_cobdfd4jmvif9dabl100,rec_cobdesq5ojbselbdqrbg
rec_cocrhr523jsre5gha87g,rec_cobdfd4jmvif9dabl0ng,rec_cobdesq5ojbselbdqr5g
rec_cocrhr523jsre5gha880,rec_cobdfd4jmvif9dabl0j0,rec_cobdesq5ojbselbdqr30
rec_cocrhr523jsre5gha88g,rec_cobdfd4jmvif9dabl0l0,rec_cobdesq5ojbselbdqrkg
rec_cocrhr523jsre5gha890,rec_cobdfd4jmvif9dabl1e0,rec_cobdesq5ojbselbdqrig
rec_cocrhr523jsre5gha89g,rec_cobdfd4jmvif9dabl0k0,rec_cobdet25ojbselbdqrq0
rec_cocrhr523jsre5gha8a0,rec_cobdfd4jmvif9dabl110,rec_cobdet25ojbselbdqrpg
rec_cocrhr523jsre5gha8ag,rec_cobdfd4jmvif9dabl0m0,rec_cobdesq5ojbselbdqrl0
