id,testimony,topic
rec_cocs13t23jsre5gha9j0,rec_cocrpk523jsre5gha9c0,rec_cobdesq5ojbselbdqr2g
rec_cocs13t23jsre5gha9jg,rec_cocrpk523jsre5gha9cg,rec_cobdesq5ojbselbdqr2g
rec_cocs13t23jsre5gha9k0,rec_cocrpk523jsre5gha9d0,rec_cobdesq5ojbselbdqr2g
rec_cocs13t23jsre5gha9kg,rec_cocrpk523jsre5gha9dg,rec_cobdesq5ojbselbdqr2g
rec_cocs13t23jsre5gha9l0,rec_cocrpk523jsre5gha9e0,rec_cobdesq5ojbselbdqr2g
rec_cocs13t23jsre5gha9lg,rec_cocrpk523jsre5gha9eg,rec_cobdesq5ojbselbdqr2g
rec_cocs13t23jsre5gha9m0,rec_cocrpk523jsre5gha9f0,rec_cobdesq5ojbselbdqr2g
rec_cocs13t23jsre5gha9mg,rec_cocrpk523jsre5gha9fg,rec_cobdesq5ojbselbdqr2g
rec_cocs13t23jsre5gha9n0,rec_cocrpk523jsre5gha9g0,rec_cobdesq5ojbselbdqr2g
rec_cocs13t23jsre5gha9ng,rec_cocrpk523jsre5gha9gg,rec_cobdesq5ojbselbdqr2g
rec_cocs13t23jsre5gha9o0,rec_cocrpk523jsre5gha9h0,rec_cobdesq5ojbselbdqr2g
rec_cocs13t23jsre5gha9og,rec_cocrpk523jsre5gha9hg,rec_cobdesq5ojbselbdqr2g
rec_cocs13t23jsre5gha9p0,rec_cocrpk523jsre5gha9c0,rec_cobdesq5ojbselbdqr30
rec_cocs13t23jsre5gha9pg,rec_cocrpk523jsre5gha9cg,rec_cobdesq5ojbselbdqr30
rec_cocs13t23jsre5gha9q0,rec_cocrpk523jsre5gha9d0,rec_cobdesq5ojbselbdqr30
rec_cocs13t23jsre5gha9qg,rec_cocrpk523jsre5gha9dg,rec_cobdesq5ojbselbdqr30
rec_cocs13t23jsre5gha9r0,rec_cocrpk523jsre5gha9e0,rec_cobdesq5ojbselbdqr30
rec_cocs13t23jsre5gha9rg,rec_cocrpk523jsre5gha9eg,rec_cobdesq5ojbselbdqr30
rec_cocs13t23jsre5gha9s0,rec_cocrpk523jsre5gha9f0,rec_cobdesq5ojbselbdqr30
rec_cocs13t23jsre5gha9sg,rec_cocrpk523jsre5gha9fg,rec_cobdesq5ojbselbdqr30
rec_cocs13t23jsre5gha9t0,rec_cocrpk523jsre5gha9g0,rec_cobdesq5ojbselbdqr30
rec_cocs13t23jsre5gha9tg,rec_cocrpk523jsre5gha9gg,rec_cobdesq5ojbselbdqr30
rec_cocs13t23jsre5gha9u0,rec_cocrpk523jsre5gha9h0,rec_cobdesq5ojbselbdqr30
rec_cocs13t23jsre5gha9ug,rec_cocrpk523jsre5gha9hg,rec_cobdesq5ojbselbdqr30
rec_cocs13t23jsre5gha9v0,rec_cocrpk523jsre5gha9c0,rec_cobdesq5ojbselbdqr3g
rec_cocs13t23jsre5gha9vg,rec_cocrpk523jsre5gha9cg,rec_cobdesq5ojbselbdqr3g
rec_cocs13t23jsre5ghaa00,rec_cocrpk523jsre5gha9d0,rec_cobdesq5ojbselbdqr3g
rec_cocs13t23jsre5ghaa0g,rec_cocrpk523jsre5gha9dg,rec_cobdesq5ojbselbdqr3g
rec_cocs13t23jsre5ghaa10,rec_cocrpk523jsre5gha9e0,rec_cobdesq5ojbselbdqr3g
rec_cocs13t23jsre5ghaa1g,rec_cocrpk523jsre5gha9eg,rec_cobdesq5ojbselbdqr3g
rec_cocs13t23jsre5ghaa20,rec_cocrpk523jsre5gha9f0,rec_cobdesq5ojbselbdqr3g
rec_cocs13t23jsre5ghaa2g,rec_cocrpk523jsre5gha9fg,rec_cobdesq5ojbselbdqr3g
rec_cocs13t23jsre5ghaa30,rec_cocrpk523jsre5gha9g0,rec_cobdesq5ojbselbdqr3g
rec_cocs13t23jsre5ghaa3g,rec_cocrpk523jsre5gha9gg,rec_cobdesq5ojbselbdqr3g
rec_cocs13t23jsre5ghaa40,rec_cocrpk523jsre5gha9h0,rec_cobdesq5ojbselbdqr3g
rec_cocs13t23jsre5ghaa4g,rec_cocrpk523jsre5gha9hg,rec_cobdesq5ojbselbdqr3g
rec_cocs13t23jsre5ghaa50,rec_cocrpk523jsre5gha9c0,rec_cobdet25ojbselbdqrsg
rec_cocs13t23jsre5ghaa5g,rec_cocrpk523jsre5gha9cg,rec_cobdet25ojbselbdqrsg
rec_cocs13t23jsre5ghaa60,rec_cocrpk523jsre5gha9d0,rec_cobdet25ojbselbdqrsg
rec_cocs13t23jsre5ghaa6g,rec_cocrpk523jsre5gha9dg,rec_cobdet25ojbselbdqrsg
rec_cocs13t23jsre5ghaa70,rec_cocrpk523jsre5gha9e0,rec_cobdet25ojbselbdqrsg
rec_cocs13t23jsre5ghaa7g,rec_cocrpk523jsre5gha9eg,rec_cobdet25ojbselbdqrsg
rec_cocs13t23jsre5ghaa80,rec_cocrpk523jsre5gha9f0,rec_cobdet25ojbselbdqrsg
rec_cocs13t23jsre5ghaa8g,rec_cocrpk523jsre5gha9fg,rec_cobdet25ojbselbdqrsg
rec_cocs13t23jsre5ghaa90,rec_cocrpk523jsre5gha9g0,rec_cobdet25ojbselbdqrsg
rec_cocs13t23jsre5ghaa9g,rec_cocrpk523jsre5gha9gg,rec_cobdet25ojbselbdqrsg
rec_cocs13t23jsre5ghaaa0,rec_cocrpk523jsre5gha9h0,rec_cobdet25ojbselbdqrsg
rec_cocs13t23jsre5ghaaag,rec_cocrpk523jsre5gha9hg,rec_cobdet25ojbselbdqrsg
rec_cocs13t23jsre5ghaab0,rec_cocrpk523jsre5gha9c0,rec_cobdesq5ojbselbdqr40
rec_cocs13t23jsre5ghaabg,rec_cocrpk523jsre5gha9cg,rec_cobdesq5ojbselbdqr40
rec_cocs13t23jsre5ghaac0,rec_cocrpk523jsre5gha9d0,rec_cobdesq5ojbselbdqr40
rec_cocs13t23jsre5ghaacg,rec_cocrpk523jsre5gha9dg,rec_cobdesq5ojbselbdqr40
rec_cocs13t23jsre5ghaad0,rec_cocrpk523jsre5gha9e0,rec_cobdesq5ojbselbdqr40
rec_cocs13t23jsre5ghaadg,rec_cocrpk523jsre5gha9eg,rec_cobdesq5ojbselbdqr40
rec_cocs13t23jsre5ghaae0,rec_cocrpk523jsre5gha9f0,rec_cobdesq5ojbselbdqr40
rec_cocs13t23jsre5ghaaeg,rec_cocrpk523jsre5gha9fg,rec_cobdesq5ojbselbdqr40
rec_cocs13t23jsre5ghaaf0,rec_cocrpk523jsre5gha9g0,rec_cobdesq5ojbselbdqr40
rec_cocs13t23jsre5ghaafg,rec_cocrpk523jsre5gha9gg,rec_cobdesq5ojbselbdqr40
rec_cocs13t23jsre5ghaag0,rec_cocrpk523jsre5gha9h0,rec_cobdesq5ojbselbdqr40
rec_cocs13t23jsre5ghaagg,rec_cocrpk523jsre5gha9hg,rec_cobdesq5ojbselbdqr40
rec_cocs13t23jsre5ghaah0,rec_cocrpk523jsre5gha9c0,rec_cobdesq5ojbselbdqr4g
rec_cocs13t23jsre5ghaahg,rec_cocrpk523jsre5gha9cg,rec_cobdesq5ojbselbdqr4g
rec_cocs13t23jsre5ghaai0,rec_cocrpk523jsre5gha9d0,rec_cobdesq5ojbselbdqr4g
rec_cocs13t23jsre5ghaaig,rec_cocrpk523jsre5gha9dg,rec_cobdesq5ojbselbdqr4g
rec_cocs13t23jsre5ghaaj0,rec_cocrpk523jsre5gha9e0,rec_cobdesq5ojbselbdqr4g
rec_cocs13t23jsre5ghaajg,rec_cocrpk523jsre5gha9eg,rec_cobdesq5ojbselbdqr4g
rec_cocs13t23jsre5ghaak0,rec_cocrpk523jsre5gha9f0,rec_cobdesq5ojbselbdqr4g
rec_cocs13t23jsre5ghaakg,rec_cocrpk523jsre5gha9fg,rec_cobdesq5ojbselbdqr4g
rec_cocs13t23jsre5ghaal0,rec_cocrpk523jsre5gha9g0,rec_cobdesq5ojbselbdqr4g
rec_cocs13t23jsre5ghaalg,rec_cocrpk523jsre5gha9gg,rec_cobdesq5ojbselbdqr4g
rec_cocs13t23jsre5ghaam0,rec_cocrpk523jsre5gha9h0,rec_cobdesq5ojbselbdqr4g
rec_cocs13t23jsre5ghaamg,rec_cocrpk523jsre5gha9hg,rec_cobdesq5ojbselbdqr4g
rec_cocs13t23jsre5ghaan0,rec_cocrpk523jsre5gha9c0,rec_cobdesq5ojbselbdqr50
rec_cocs13t23jsre5ghaang,rec_cocrpk523jsre5gha9cg,rec_cobdesq5ojbselbdqr50
rec_cocs13t23jsre5ghaao0,rec_cocrpk523jsre5gha9d0,rec_cobdesq5ojbselbdqr50
rec_cocs13t23jsre5ghaaog,rec_cocrpk523jsre5gha9dg,rec_cobdesq5ojbselbdqr50
rec_cocs13t23jsre5ghaap0,rec_cocrpk523jsre5gha9e0,rec_cobdesq5ojbselbdqr50
rec_cocs13t23jsre5ghaapg,rec_cocrpk523jsre5gha9eg,rec_cobdesq5ojbselbdqr50
rec_cocs13t23jsre5ghaaq0,rec_cocrpk523jsre5gha9f0,rec_cobdesq5ojbselbdqr50
rec_cocs13t23jsre5ghaaqg,rec_cocrpk523jsre5gha9fg,rec_cobdesq5ojbselbdqr50
rec_cocs13t23jsre5ghaar0,rec_cocrpk523jsre5gha9g0,rec_cobdesq5ojbselbdqr50
rec_cocs13t23jsre5ghaarg,rec_cocrpk523jsre5gha9gg,rec_cobdesq5ojbselbdqr50
rec_cocs13t23jsre5ghaas0,rec_cocrpk523jsre5gha9h0,rec_cobdesq5ojbselbdqr50
rec_cocs13t23jsre5ghaasg,rec_cocrpk523jsre5gha9hg,rec_cobdesq5ojbselbdqr50
rec_cocs13t23jsre5ghaat0,rec_cocrpk523jsre5gha9c0,rec_cobdesq5ojbselbdqr5g
rec_cocs13t23jsre5ghaatg,rec_cocrpk523jsre5gha9cg,rec_cobdesq5ojbselbdqr5g
rec_cocs13t23jsre5ghaau0,rec_cocrpk523jsre5gha9d0,rec_cobdesq5ojbselbdqr5g
rec_cocs13t23jsre5ghaaug,rec_cocrpk523jsre5gha9dg,rec_cobdesq5ojbselbdqr5g
rec_cocs13t23jsre5ghaav0,rec_cocrpk523jsre5gha9e0,rec_cobdesq5ojbselbdqr5g
rec_cocs13t23jsre5ghaavg,rec_cocrpk523jsre5gha9eg,rec_cobdesq5ojbselbdqr5g
rec_cocs13t23jsre5ghab00,rec_cocrpk523jsre5gha9f0,rec_cobdesq5ojbselbdqr5g
rec_cocs13t23jsre5ghab0g,rec_cocrpk523jsre5gha9fg,rec_cobdesq5ojbselbdqr5g
rec_cocs13t23jsre5ghab10,rec_cocrpk523jsre5gha9g0,rec_cobdesq5ojbselbdqr5g
rec_cocs13t23jsre5ghab1g,rec_cocrpk523jsre5gha9gg,rec_cobdesq5ojbselbdqr5g
rec_cocs13t23jsre5ghab20,rec_cocrpk523jsre5gha9h0,rec_cobdesq5ojbselbdqr5g
rec_cocs13t23jsre5ghab2g,rec_cocrpk523jsre5gha9hg,rec_cobdesq5ojbselbdqr5g
rec_cocs13t23jsre5ghab30,rec_cocrpk523jsre5gha9c0,rec_cobdesq5ojbselbdqr60
rec_cocs13t23jsre5ghab3g,rec_cocrpk523jsre5gha9cg,rec_cobdesq5ojbselbdqr60
rec_cocs13t23jsre5ghab40,rec_cocrpk523jsre5gha9d0,rec_cobdesq5ojbselbdqr60
rec_cocs13t23jsre5ghab4g,rec_cocrpk523jsre5gha9dg,rec_cobdesq5ojbselbdqr60
rec_cocs13t23jsre5ghab50,rec_cocrpk523jsre5gha9e0,rec_cobdesq5ojbselbdqr60
rec_cocs13t23jsre5ghab5g,rec_cocrpk523jsre5gha9eg,rec_cobdesq5ojbselbdqr60
rec_cocs13t23jsre5ghab60,rec_cocrpk523jsre5gha9f0,rec_cobdesq5ojbselbdqr60
rec_cocs13t23jsre5ghab6g,rec_cocrpk523jsre5gha9fg,rec_cobdesq5ojbselbdqr60
rec_cocs13t23jsre5ghab70,rec_cocrpk523jsre5gha9g0,rec_cobdesq5ojbselbdqr60
rec_cocs13t23jsre5ghab7g,rec_cocrpk523jsre5gha9gg,rec_cobdesq5ojbselbdqr60
rec_cocs13t23jsre5ghab80,rec_cocrpk523jsre5gha9h0,rec_cobdesq5ojbselbdqr60
rec_cocs13t23jsre5ghab8g,rec_cocrpk523jsre5gha9hg,rec_cobdesq5ojbselbdqr60
rec_cocs13t23jsre5ghab90,rec_cocrpk523jsre5gha9c0,rec_cobdesq5ojbselbdqr6g
rec_cocs13t23jsre5ghab9g,rec_cocrpk523jsre5gha9cg,rec_cobdesq5ojbselbdqr6g
rec_cocs13t23jsre5ghaba0,rec_cocrpk523jsre5gha9d0,rec_cobdesq5ojbselbdqr6g
